2026-07-14 13:09:35,604 | INFO     | __main__ | === Starting daily ingestion pipeline for topic: 'Advancements in AI in the medical field' ===
2026-07-14 13:09:37,076 | INFO     | database.vector_store | Loading embedding model 'all-MiniLM-L6-v2'...
2026-07-14 13:09:44,529 | INFO     | database.vector_store | VectorStore ready. Existing chunk count: 0
2026-07-14 13:09:59,012 | INFO     | agents.search_agent | Generated 8 sub-queries via LLM for topic 'Advancements in AI in the medical field'
2026-07-14 13:10:02,765 | INFO     | tools.search | Search OK for 'artificial intelligence medical imaging' (attempt 1/3, call #1, 5 results)
2026-07-14 13:10:04,767 | INFO     | tools.search | Search OK for 'AI-assisted diagnostic tools' (attempt 1/3, call #2, 5 results)
2026-07-14 13:10:08,212 | INFO     | tools.search | Search OK for 'machine learning in personalized medicine' (attempt 1/3, call #3, 5 results)
2026-07-14 13:10:09,954 | INFO     | tools.search | Search OK for 'deep learning for disease diagnosis' (attempt 1/3, call #4, 5 results)
2026-07-14 13:10:12,591 | INFO     | tools.search | Search OK for 'natural language processing in clinical documentation' (attempt 1/3, call #5, 5 results)
2026-07-14 13:10:15,147 | INFO     | tools.search | Search OK for 'computer vision in telemedicine' (attempt 1/3, call #6, 5 results)
2026-07-14 13:10:19,029 | INFO     | tools.search | Search OK for 'AI-powered predictive analytics in healthcare' (attempt 1/3, call #7, 5 results)
2026-07-14 13:10:21,829 | INFO     | tools.search | Search OK for 'robotics in surgical assistance' (attempt 1/3, call #8, 5 results)
2026-07-14 13:10:21,834 | INFO     | agents.search_agent | SearchAgent: 8 queries -> 40 unique URLs -> 10 kept after ranking/truncation
2026-07-14 13:10:21,834 | INFO     | __main__ | SearchAgent returned 10 candidate URLs.
2026-07-14 13:10:21,834 | INFO     | __main__ | Scraping: https://journals.mesopotamian.press/index.php/MJAIH/article/view/135
2026-07-14 13:10:24,839 | INFO     | __main__ | Scraping: https://research.monash.edu/en/publications/artificial-intelligence-in-medical-imaging-implications-for-patie/
2026-07-14 13:10:25,924 | INFO     | __main__ | Scraping: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9428734/
2026-07-14 13:10:28,662 | WARNING  | __main__ | Skipping failed/empty scrape: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9428734/
2026-07-14 13:10:28,662 | INFO     | __main__ | Scraping: https://www.linkedin.com/pulse/artificial-intelligence-medical-imaging-0oi1f
2026-07-14 13:10:30,342 | WARNING  | __main__ | Skipping failed/empty scrape: https://www.linkedin.com/pulse/artificial-intelligence-medical-imaging-0oi1f
2026-07-14 13:10:30,342 | INFO     | __main__ | Scraping: https://hsetdata.com/index.php/ojs/article/view/446
2026-07-14 13:10:36,069 | INFO     | __main__ | Scraping: https://dataintelo.com/report/global-ai-assisted-diagnosis-market
2026-07-14 13:10:37,266 | INFO     | __main__ | Scraping: https://pmc.ncbi.nlm.nih.gov/articles/PMC11144045/
2026-07-14 13:10:38,480 | WARNING  | __main__ | Skipping failed/empty scrape: https://pmc.ncbi.nlm.nih.gov/articles/PMC11144045/
2026-07-14 13:10:38,496 | INFO     | __main__ | Scraping: https://www.johnsnowlabs.com/clinical-nlp/
2026-07-14 13:10:40,654 | INFO     | __main__ | Scraping: https://www.labellerr.com/blog/computer-vision-in-telemedicine-for-enhanced-healthcare-delivery/
2026-07-14 13:10:42,839 | INFO     | __main__ | Skipping stale article (published 2024-02-06T13:01:38): https://www.labellerr.com/blog/computer-vision-in-telemedicine-for-enhanced-healthcare-delivery/
2026-07-14 13:10:42,839 | INFO     | __main__ | Scraping: https://pmc.ncbi.nlm.nih.gov/articles/PMC10445506/
2026-07-14 13:10:44,020 | WARNING  | __main__ | Skipping failed/empty scrape: https://pmc.ncbi.nlm.nih.gov/articles/PMC10445506/
2026-07-14 13:10:44,020 | INFO     | __main__ | Scraping complete: 5 succeeded, 4 failed, 1 stale, 0 irrelevant, ~13894 tokens used.
2026-07-14 13:10:44,438 | INFO     | agents.vector_db_agent | Indexed doc https://journals.mesopotamian.press/index.php/MJAIH/article/view/135: 1 chunks total, 1 new (deduped 0)
2026-07-14 13:10:44,602 | INFO     | agents.vector_db_agent | Indexed doc https://research.monash.edu/en/publications/artificial-intelligence-in-medical-imaging-implications-for-patie/: 2 chunks total, 2 new (deduped 0)
2026-07-14 13:10:44,843 | INFO     | agents.vector_db_agent | Indexed doc https://hsetdata.com/index.php/ojs/article/view/446: 4 chunks total, 4 new (deduped 0)
2026-07-14 13:10:45,627 | INFO     | agents.vector_db_agent | Indexed doc https://dataintelo.com/report/global-ai-assisted-diagnosis-market: 17 chunks total, 17 new (deduped 0)
2026-07-14 13:10:45,926 | INFO     | agents.vector_db_agent | Indexed doc https://www.johnsnowlabs.com/clinical-nlp/: 5 chunks total, 5 new (deduped 0)
2026-07-14 13:10:45,932 | INFO     | agents.vector_db_agent | Indexing report: {'documents_processed': 5, 'documents_skipped_empty_or_short': 0, 'chunks_seen': 29, 'chunks_added': 29, 'chunks_deduped': 0, 'chunks_purged_retention': 0, 'total_chunks_in_db': 29}
2026-07-14 13:10:45,941 | INFO     | __main__ | === Ingestion pipeline complete. Report saved to ./reports\ingestion_report_20260714_130935.json ===
2026-07-14 13:26:27,485 | INFO     | __main__ | Scheduler started. Daily ingestion will run at 06:00.
2026-07-14 13:44:27,042 | INFO     | database.vector_store | Loading embedding model 'all-MiniLM-L6-v2'...
2026-07-14 13:44:34,615 | INFO     | database.vector_store | VectorStore ready. Existing chunk count: 29
2026-07-14 13:44:51,123 | INFO     | agents.rag_agent | Loading cross-encoder 'cross-encoder/ms-marco-MiniLM-L-6-v2'...
2026-07-14 13:45:29,914 | INFO     | agents.rag_agent | Cross-encoder ready.
2026-07-14 16:08:09,566 | INFO     | ingestion | === Starting daily ingestion pipeline for topic: 'Advancements in AI in the medical field' ===
2026-07-14 16:08:09,576 | INFO     | database.vector_store | Loading embedding model 'all-MiniLM-L6-v2'...
2026-07-14 16:08:14,890 | INFO     | database.vector_store | VectorStore ready. Existing chunk count: 29
2026-07-14 16:08:26,940 | INFO     | agents.search_agent | Generated 8 sub-queries via LLM for topic 'Advancements in AI in the medical field'
2026-07-14 16:08:30,793 | INFO     | tools.search | Search OK for 'artificial intelligence medical imaging' (attempt 1/3, call #1, 5 results)
2026-07-14 16:08:32,287 | INFO     | tools.search | Search OK for 'AI-assisted surgical robots' (attempt 1/3, call #2, 5 results)
2026-07-14 16:08:35,907 | INFO     | tools.search | Search OK for 'machine learning disease diagnosis' (attempt 1/3, call #3, 5 results)
2026-07-14 16:08:37,871 | INFO     | tools.search | Search OK for 'deep learning in medical research' (attempt 1/3, call #4, 5 results)
2026-07-14 16:08:42,950 | INFO     | tools.search | Search OK for 'personalized medicine with AI' (attempt 1/3, call #5, 5 results)
2026-07-14 16:08:45,391 | INFO     | tools.search | Search OK for 'AI-powered chatbots for patient care' (attempt 1/3, call #6, 5 results)
2026-07-14 16:08:49,103 | INFO     | tools.search | Search OK for 'predictive analytics in healthcare' (attempt 1/3, call #7, 5 results)
2026-07-14 16:08:51,446 | INFO     | tools.search | Search OK for 'natural language processing in medical texts' (attempt 1/3, call #8, 5 results)
2026-07-14 16:08:51,448 | INFO     | agents.search_agent | SearchAgent: 8 queries -> 40 unique URLs -> 10 kept after ranking/truncation
2026-07-14 16:08:51,448 | INFO     | ingestion | SearchAgent returned 10 candidate URLs.
2026-07-14 16:08:51,449 | INFO     | ingestion | Scraping: https://www.nmbu.no/en/research/strengths-and-limitations-deep-learning-medical-diagnostics
2026-07-14 16:08:53,354 | INFO     | ingestion | Scraping: https://www.academia.edu/90801440/A_Study_on_Using_Deep_Learning_for_Segmentation_of_Medical_Image
2026-07-14 16:08:53,802 | WARNING  | tools.scraper | Scraping failed for https://www.academia.edu/90801440/A_Study_on_Using_Deep_Learning_for_Segmentation_of_Medical_Image: 403 Client Error: Forbidden for url: https://www.academia.edu/90801440/A_Study_on_Using_Deep_Learning_for_Segmentation_of_Medical_Image
2026-07-14 16:08:53,804 | WARNING  | ingestion | Skipping failed/empty scrape: https://www.academia.edu/90801440/A_Study_on_Using_Deep_Learning_for_Segmentation_of_Medical_Image
2026-07-14 16:08:53,804 | INFO     | ingestion | Scraping: https://www.softermii.com/blog/natural-language-processing-in-healthcare
2026-07-14 16:08:55,069 | INFO     | ingestion | Skipping stale article (published 2021-09-29T14:14:00): https://www.softermii.com/blog/natural-language-processing-in-healthcare
2026-07-14 16:08:55,069 | INFO     | ingestion | Scraping: https://pmc.ncbi.nlm.nih.gov/articles/PMC10740686/
